0.5262;0.00064981;0.057216;0.11649;308;0.73247;0.00033792
0.5034;1.4131e-05;0.13629;0.054785;223;0.76595;0.0010801
0.5096;4.4009e-06;0.17715;0.098338;253;0.89135;0.001357
0.4484;0.00076447;0.18089;0.16384;235;0.70358;0.0012325
0.5128;6.0299e-05;0.075661;0.070541;401;0.75705;0.00032008
0.4882;1.1375e-06;0.12605;0.18625;176;0.8342;0.0015314
0.5014;3.6827e-05;0.19854;0.019493;446;0.93231;0.0010006
0.4734;0.00032741;0.014993;0.024134;198;0.77856;0.0016351
0.5264;0.00010795;0.074173;0.14199;147;0.94695;0.00016991
0.5172;4.3932e-05;0.044348;0.06969;106;0.93036;0.00038574
0.4664;1.5881e-06;0.16574;0.048135;336;0.73082;0.0018282
0.497;0.00071614;0.15381;0.063031;326;0.97898;0.001054
0.5244;7.0237e-06;0.13742;0.051669;186;0.92562;0.00036912
0.4742;5.9457e-05;0.12954;0.17472;56;0.70373;0.0023507
0.503;6.0276e-06;0.054504;0.11245;177;0.78556;0.0012693
0.518;0.00011978;0.17;0.1098;334;0.85096;0.00067156
0.467;0.00094811;0.018661;0.14252;420;0.97555;0.0023028
0.4884;0.00091588;0.0017402;0.087572;363;0.95445;0.0013663
0.5154;1.5031e-05;0.1711;0.18703;366;0.94313;0.0012395
0.4088;0.00032744;0.038981;0.068674;424;0.72006;0.0024488
