0.2932;0.01163;0.098166;0.10854;334;0.54138;0.0045902
0.3864;0.00063456;0.011659;0.09735;457;0.67464;0.0028788
0.4424;0.00058348;0.28235;0.38794;178;0.97639;0.0030097
0.429;0.0097917;0.22018;0.37484;224;0.87142;0.00080288
0.4818;8.0591e-05;0.11619;0.21147;252;0.71258;0.0019337
0.3782;2.4704e-05;0.36738;0.48927;251;0.63917;0.0022173
0.394;7.0681e-05;0.081422;0.17733;309;0.73989;0.0044999
0.2638;0.052486;0.28012;0.44857;452;0.60066;0.0039563
0.309;0.03687;0.20394;0.20895;251;0.63789;0.0029877
0.4378;0.0022375;0.47158;0.3857;123;0.91211;0.0011508
0.474;0.00026897;0.18729;0.26472;468;0.85872;0.0016844
0.35;0.0089337;0.43835;0.41302;119;0.85509;0.0036982
0.291;0.012348;0.34293;0.10641;128;0.56275;0.0048536
0.3412;0.0070575;0.088098;0.13135;480;0.70287;0.0041745
0.397;0.0014081;0.03275;0.10253;274;0.55434;0.0014557
0.3898;0.00012492;0.43186;0.38327;410;0.67268;0.0031744
0.3458;0.015374;0.11642;0.17814;427;0.91147;0.0032562
0.409;1.1847e-05;0.025978;0.304;190;0.65639;0.0035768
0.4608;0.00030637;0.37308;0.071887;190;0.69571;0.0011576
0.4428;9.8562e-05;0.39577;0.42851;135;0.74892;0.0022746
