0.5706;1.093e-05;0.20391;0.431;333;0.98509;0.00208
0.5494;1.78e-05;0.24786;0.38894;587;0.66407;0.0019527
0.5608;0.00061811;0.31266;0.24359;644;0.77979;0.0021309
0.5594;0.0027382;0.10075;0.59165;626;0.6928;0.0012525
0.5778;4.9733e-05;0.029539;0.26438;747;0.78366;0.0014451
0.5196;1.4645e-05;0.48942;0.41033;474;0.51903;0.0020907
0.5486;0.0004056;0.35458;0.20935;377;0.80507;0.001554
0.5498;0.00043355;0.12257;0.38542;174;0.65997;0.0014818
0.546;4.1084e-05;0.16088;0.522;459;0.55954;0.0013055
0.5246;7.316e-05;0.4928;0.15128;132;0.91932;0.0019441
0.5692;3.3305e-05;0.080471;0.5065;357;0.79179;0.0021278
0.549;4.4519e-05;0.398;0.11308;407;0.94544;0.0013936
0.5034;9.5201e-05;0.49852;0.15259;235;0.51976;0.00048354
0.5802;0.00014116;0.055103;0.37782;754;0.79708;0.0013638
0.5752;0.0003953;0.12053;0.37523;453;0.9239;0.0017823
0.5344;0.0027372;0.0858;0.23692;347;0.56934;0.001597
0.538;0.0012962;0.10563;0.5972;533;0.50154;0.0019492
0.57;0.00010147;0.14854;0.20063;718;0.82159;0.001192
0.5702;0.0004201;0.20964;0.27374;593;0.86202;0.0023439
0.5382;1.2628e-05;0.1228;0.45483;323;0.50494;0.001286
